Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
01/03/2026,01/03/2026,SALARY CREDIT - ACME TECHNOLOGIES PVT LTD,NEFT-REF-9283746,,85000.00,142350.50
02/03/2026,02/03/2026,UPI/SWIGGY/438291746,UPI-REF-4382917,456.00,,141894.50
03/03/2026,03/03/2026,NEFT TO LANDLORD KUMAR SHARMA,NEFT-REF-1928374,18000.00,,123894.50
04/03/2026,04/03/2026,UPI/ZOMATO/ORDER-88421,UPI-REF-8842156,312.00,,123582.50
05/03/2026,05/03/2026,ATM CASH WITHDRAWAL - SBI ATM MG ROAD,ATM-REF-5529104,5000.00,,118582.50
06/03/2026,06/03/2026,UPI/FLIPKART MARKETPLACE/INV-2026,UPI-REF-6621034,2499.00,,116083.50
07/03/2026,07/03/2026,UPI/OLA RIDE/BANGALORE,UPI-REF-7734921,185.00,,115898.50
08/03/2026,08/03/2026,NETFLIX INDIA SUBSCRIPTION,NACH-REF-3347281,499.00,,115399.50
09/03/2026,09/03/2026,UPI/RAHUL@OKICICI,UPI-REF-9912834,1500.00,,113899.50
10/03/2026,10/03/2026,UPI FROM PRIYA@YESBANK,UPI-REF-1129384,,2500.00,116399.50
11/03/2026,11/03/2026,AIRTEL POSTPAID BILL PAYMENT,BBPS-REF-4456723,799.00,,115600.50
12/03/2026,12/03/2026,UPI/SWIGGY/ORDER-99012,UPI-REF-5567823,589.00,,115011.50
13/03/2026,13/03/2026,UPI/UBER INDIA/TRIP-44821,UPI-REF-3321984,342.00,,114669.50
13/03/2026,13/03/2026,INTEREST CREDITED FOR Q4,,0.00,1245.00,115914.50
14/03/2026,14/03/2026,UPI/AMAZON PAY INDIA,UPI-REF-8834512,1299.00,,114615.50
15/03/2026,15/03/2026,DELHI METRO SMART CARD RECHARGE,UPI-REF-2213948,500.00,,114115.50
15/03/2026,15/03/2026,BESCOM ELECTRICITY BILL MARCH,BBPS-REF-6678342,1850.00,,112265.50
16/03/2026,16/03/2026,UPI/STARBUCKS INDIA/KORAMANGALA,UPI-REF-7745612,420.00,,111845.50
17/03/2026,17/03/2026,UPI/BOOKMYSHOW/TICKETS-RRR2,UPI-REF-8856734,750.00,,111095.50
17/03/2026,17/03/2026,UPI/MYNTRA FASHION/ORD-339821,UPI-REF-4478923,1899.00,,109196.50
18/03/2026,18/03/2026,UPI/RAPIDO BIKE/BANGALORE,UPI-REF-5589234,95.00,,109101.50
19/03/2026,19/03/2026,IRCTC BOOKING - BLR TO CHN,UPI-REF-6690345,1450.00,,107651.50
19/03/2026,19/03/2026,UPI/CHAAYOS/INDIRANAGAR,UPI-REF-7701456,245.00,,107406.50
20/03/2026,20/03/2026,HOTSTAR PREMIUM ANNUAL,NACH-REF-8812567,299.00,,107107.50
20/03/2026,20/03/2026,UPI/DOMINOS PIZZA ONLINE,UPI-REF-9923678,549.00,,106558.50
21/03/2026,21/03/2026,TATA PLAY DTH RECHARGE,BBPS-REF-1034789,399.00,,106159.50
21/03/2026,21/03/2026,UPI/BIGBASKET/ORDER-77291,UPI-REF-2145890,872.00,,105287.50
22/03/2026,22/03/2026,UPI/DUNZO DAILY/DELIVERY,UPI-REF-3256901,156.00,,105131.50
22/03/2026,22/03/2026,IMPS TO SAVINGS A/C - KOTAK,IMPS-REF-4367012,10000.00,,95131.50
